id,name,type,level,level_codes,city,state,zip_code,district,latitude,longitude,rating,rating_year,distance
606329,Vista Academy Of Visual And Performing Arts,public,"KG,1,2,3,4,5",e,Vista,CA,92083,Vista Unified School District,33.208099,-117.24575,3,2020,24.71114246
606330,Vista Innovation and Design Academy,public,"6,7,8",m,Vista,CA,92083,Vista Unified School District,33.203163,-117.259247,6,2020,24.82459766
605871,Magnolia Elementary School,public,"KG,1,2,3,4,5",e,Carlsbad,CA,92008,Carlsbad Unified School District,33.15955,-117.326523,9,2020,24.84090062
606315,Casita Center For Science/Math/Technology,public,"KG,1,2,3,4,5",e,Vista,CA,92083,Vista Unified School District,33.189163,-117.284836,8,2020,24.85895336
606310,Alta Vista High (Continuation) School,public,"9,10,11,12",h,Vista,CA,92084,Vista Unified School District,33.222675,-117.219246,1,2020,24.87589322
612421,Lilac School,public,"KG,1,2,3,4,5,6",e,Valley Center,CA,92082,Valley Center-Pauma Unified School District,33.25803,-117.069016,5,2020,24.89925684
605873,Valley Middle School,public,"6,7,8",m,Carlsbad,CA,92008,Carlsbad Unified School District,33.158474,-117.329506,8,2020,24.90683883
605868,Jefferson Elementary School,public,"KG,1,2,3,4,5",e,Carlsbad,CA,92008,Carlsbad Unified School District,33.151993,-117.339149,7,2020,24.98314216
611124,Carlsbad Seaside Academy,public,"9,10,11,12",h,Carlsbad,CA,92008,Carlsbad Unified School District,33.16346,-117.327995,6,2020,25.09544534
605866,Carlsbad High School,public,"9,10,11,12",h,Carlsbad,CA,92008,Carlsbad Unified School District,33.16346,-117.327995,8,2020,25.09544534
605870,Carlsbad Village Academy,public,"10,11,12",h,Carlsbad,CA,92008,Carlsbad Unified School District,33.16346,-117.327995,2,2020,25.09544534
606318,Grapevine Elementary School,public,"KG,1,2,3,4,5",e,Vista,CA,92083,Vista Unified School District,33.200413,-117.27433,5,2020,25.14319845
624630,North County Trade Tech High School,charter,"9,10,11,12",h,Vista,CA,92083,Vista Unified School District,33.212383,-117.25573,4,2020,25.26011284
627084,Vista Visions Academy,public,"KG,1,2,3,4,5,6,7,8,9,10,11,12","e,m,h",Vista,CA,92084,Vista Unified School District,33.220715,-117.241432,3,2020,25.34647495
606312,Bobier Elementary School,public,"KG,1,2,3,4,5",e,Vista,CA,92083,Vista Unified School District,33.220543,-117.247406,3,2020,25.50428996
