"period_begin","period_end","period_duration","region_type","region_type_id","table_id","is_seasonally_adjusted","region","city","state","state_code","property_type","property_type_id","median_sale_price","median_sale_price_mom","median_sale_price_yoy","median_list_price","median_list_price_mom","median_list_price_yoy","median_ppsf","median_ppsf_mom","median_ppsf_yoy","median_list_ppsf","median_list_ppsf_mom","median_list_ppsf_yoy","homes_sold","homes_sold_mom","homes_sold_yoy","pending_sales","pending_sales_mom","pending_sales_yoy","new_listings","new_listings_mom","new_listings_yoy","inventory","inventory_mom","inventory_yoy","months_of_supply","months_of_supply_mom","months_of_supply_yoy","median_dom","median_dom_mom","median_dom_yoy","avg_sale_to_list","avg_sale_to_list_mom","avg_sale_to_list_yoy","sold_above_list","sold_above_list_mom","sold_above_list_yoy","price_drops","price_drops_mom","price_drops_yoy","off_market_in_two_weeks","off_market_in_two_weeks_mom","off_market_in_two_weeks_yoy","parent_metro_region","parent_metro_region_metro_code","last_updated"
"3/1/2021","5/31/2021",90,"neighborhood",1,92298,"f","San Diego, CA - Northeastern San Diego","San Diego","California","CA","Townhouse",13,651750,0.026377953,0.155585106,649900,0.017057903,0.13026087,477.7669417,0.067602719,0.154362146,478.6516854,0.047813958,0.144250117,74,0.275862069,0.450980392,21,-0.3,-0.192307692,87,0.101265823,0.359375,15,0.071428571,0.071428571,NA,NA,NA,8,1,-3,1.038338667,0.005750679,0.041873547,0.662162162,0.024231128,0.250397456,NA,NA,NA,0.619047619,-0.214285714,0.042124542,"San Diego, CA",41740,"9/11/2022 14:46"
"12/1/2021","2/28/2022",90,"neighborhood",1,113632,"f","San Diego, CA - Morena","San Diego","California","CA","Single Family Residential",6,1450000,0.035714286,0.257588899,1299900,-0.256966475,-0.124646465,775.9224078,0.063013699,0.113012071,775.6613757,0.042600912,0.330899115,2,-0.333333333,-0.5,2,NA,1,3,0.5,-0.4,1,-0.5,-0.666666667,NA,NA,NA,32.5,-8.5,7,1.115428997,0.02086627,0.108631615,1,0,0.75,NA,NA,NA,0.5,NA,-0.5,"San Diego, CA",41740,"9/11/2022 14:46"
"7/1/2017","9/30/2017",90,"neighborhood",1,113632,"f","San Diego, CA - Morena","San Diego","California","CA","All Residential",-1,424500,-0.001176471,0.035365854,425000,0.007109005,0.063031516,381.6570123,-0.029244164,0.076674519,384.3683084,-0.000624241,0.136584797,20,-0.130434783,-0.35483871,7,-0.363636364,0.4,21,-0.125,-0.16,4,-0.428571429,-0.6,NA,NA,NA,10,-1,-3,1.001167931,0.010912838,0.021472613,0.55,0.245652174,0.259677419,NA,NA,NA,0.714285714,0.077922078,0.514285714,"San Diego, CA",41740,"9/11/2022 14:46"
"11/1/2016","1/31/2017",90,"neighborhood",1,115909,"f","San Diego, CA - Teralta East","San Diego","California","CA","All Residential",-1,162000,-0.310638298,-0.209756098,220000,0.100275069,-0.541666667,241.315595,-0.07889324,0.046354883,251.9771704,0,NA,2,-0.714285714,-0.333333333,2,0,NA,7,0.75,6,4,-0.2,0,NA,NA,NA,28,-32,-5,1.025985076,0.023673008,0.041637298,0.5,0.071428571,0.166666667,NA,NA,NA,0,0,NA,"San Diego, CA",41740,"9/11/2022 14:46"
"5/1/2015","7/31/2015",90,"neighborhood",1,557504,"f","San Diego, CA - Quarry Falls","San Diego","California","CA","All Residential",-1,601052.5,-0.030560484,0.011650639,653197,0.00183589,0.044363258,388.7243879,0.001329488,0.062410936,406.8515346,0.057898339,0.032979285,6,-0.333333333,-0.25,2,0,NA,19,2.166666667,3.75,16,3,2.2,NA,NA,NA,35,-9,-0.5,1.021331287,0.007682513,0.03575525,0.5,0.055555556,0.25,NA,NA,NA,0,0,NA,"San Diego, CA",41740,"9/11/2022 14:46"
"12/1/2021","2/28/2022",90,"neighborhood",1,2111,"f","San Diego, CA - Bankers Hill - Park West","San Diego","California","CA","Condo/Co-op",3,930000,0.211726384,0.273972603,725000,0.035714286,-0.166139513,762.8847271,0.081742073,0.331449778,714.0707299,0.08184278,0.136811257,18,-0.1,-0.4,5,-0.375,-0.375,17,0.214285714,-0.595238095,4,0,-0.862068966,NA,NA,NA,10.5,-25.5,-9.5,1.016341037,0.021832563,0.023551273,0.5,0.3,0.233333333,NA,NA,NA,0.6,-0.025,-0.15,"San Diego, CA",41740,"9/11/2022 14:46"
"12/1/2020","2/28/2021",90,"neighborhood",1,112014,"f","San Diego, CA - Grantville","San Diego","California","CA","Single Family Residential",6,574000,-0.134238311,-0.096062992,690000,0.202090592,0.037593985,589.4736842,0.209099037,0.1966759,578.8777045,-0.030099084,0.127318633,3,0.5,-0.4,1,-0.5,NA,2,-0.333333333,-0.333333333,NA,NA,NA,NA,NA,NA,35,32,3,0.995884774,0.010723483,0.007521146,0,0,-0.2,NA,NA,NA,1,1,NA,"San Diego, CA",41740,"9/11/2022 14:46"
"6/1/2012","8/31/2012",90,"neighborhood",1,118784,"f","San Diego, CA - Muirlands West","San Diego","California","CA","Single Family Residential",6,1700000,-0.15,NA,1595000,NA,NA,460.5797887,-0.165840394,NA,441.5836102,NA,NA,3,0.5,NA,NA,NA,NA,1,NA,NA,1,0,NA,NA,NA,NA,73,5,NA,0.907104488,-0.02735496,NA,0,0,NA,NA,NA,NA,NA,NA,NA,"San Diego, CA",41740,"9/11/2022 14:46"
"7/1/2020","9/30/2020",90,"neighborhood",1,115941,"f","San Diego, CA - North Bay Terraces","San Diego","California","CA","All Residential",-1,550000,0.047619048,0.09561753,534950,0.015085389,0.091957542,382.9915561,0,0.037586686,398.4298178,-0.046420735,0.077914439,17,-0.105263158,0.133333333,7,0,-0.363636364,22,0,0.157894737,4,-0.2,0,NA,NA,NA,8,0,-27,1.012473458,0.004833799,0.01662019,0.705882353,0.021671827,0.305882353,NA,NA,NA,0.571428571,0,0.116883117,"San Diego, CA",41740,"9/11/2022 14:46"
"7/1/2018","9/30/2018",90,"neighborhood",1,557504,"f","San Diego, CA - Quarry Falls","San Diego","California","CA","All Residential",-1,690500,-0.065629229,-0.085391093,739900,0,0.008470938,457.1053027,-0.033760667,0.065614309,479.3190578,-0.00928849,0.06114641,4,-0.555555556,-0.6,7,2.5,0.4,27,0.285714286,0.227272727,26,-0.037037037,1.6,NA,NA,NA,44,17,6,0.992608259,-0.005041562,0.008015195,0,-0.222222222,0,NA,NA,NA,0.142857143,-0.357142857,-0.057142857,"San Diego, CA",41740,"9/11/2022 14:46"
